username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
lemonlime_event;2017-10-28 16:59;1;0;"Finally feeling like fall! This display at the aria in Vegas gets allll the Creative points —the… https://www. instagram.com/p/Baz56R3nzbc/";;;;"924425515892641792";https://twitter.com/lemonlime_event/status/924425515892641792
GoldenWestMgmt;2017-10-28 16:59;0;0;"I have a new #listing in #LasVegas #NV http:// tour.circlepix.com/home/J2BKYB pic.twitter.com/Hw4cO1727n";;;#listing #LasVegas #NV;"924425332039475202";https://twitter.com/GoldenWestMgmt/status/924425332039475202
GeorgeAlarconA;2017-10-28 16:58;0;0;"¿Quién es como yo? Deja tu comentario si te sientes identificado conmigo @Las… https://www. instagram.com/p/Baz5VP5nYFd/";;@Las;;"924425233825718272";https://twitter.com/GeorgeAlarconA/status/924425233825718272
boogiechild5820;2017-10-28 16:58;0;0;"I'm at Smith's in Henderson, NV https://www. swarmapp.com/c/bu2YSuIwIUy";;;;"924425117568028673";https://twitter.com/boogiechild5820/status/924425117568028673
jart982;2017-10-28 16:58;0;0;"Red Rock Canyon #redrockcanyon @Red Rock Canyon Las Vegas https://www. instagram.com/p/Baz5uRMju_2K qZmEhXDQSfMGR1KngXqAuY3QlA0/ …";;@Red;#redrockcanyon;"924425105979138048";https://twitter.com/jart982/status/924425105979138048
DraisLV;2017-10-28 16:57;0;0;"HALLOWEEN night in #Vegas @raesremmurd IS BACK at Drai’s Nightclub LIVE IN CONCERT! Come… https://www. instagram.com/p/Baz5sDdlMZ_/";;@raesremmurd;#Vegas;"924425032830472193";https://twitter.com/DraisLV/status/924425032830472193
boogiechild5820;2017-10-28 16:57;0;0;"Eating supper (@Del Taco in Henderson, NV) https://www. swarmapp.com/c/7i7ahaAgmXX";;@Del;;"924424969660059649";https://twitter.com/boogiechild5820/status/924424969660059649
Matt_Goias;2017-10-28 16:56;0;2;"West Indian & Caribbean Kids Educating on Diversity #wicked #wikkid #lasvegascaribbeanfestival … https://www. instagram.com/p/Baz5kX0l8sT/";;;#wicked #wikkid #lasvegascaribbeanfestival;"924424759399641094";https://twitter.com/Matt_Goias/status/924424759399641094
DA8ICH0;2017-10-28 16:56;0;0;"Its @britneyspears witch #britneyspears #itsbritneybitch #itsbritneywitch #halloween #vegas … https://www. instagram.com/p/Baz5iVIAGrr/";;@britneyspears;#britneyspears #itsbritneybitch #itsbritneywitch #halloween #vegas;"924424693804756992";https://twitter.com/DA8ICH0/status/924424693804756992
VictoriousNail;2017-10-28 16:56;0;0;"Countdown to #reshapingtheindustry with Jim Nordstrom and next the #masquerade at… https://www. instagram.com/p/Baz5iYIg5fs/";;;#reshapingtheindustry #masquerade;"924424691082600449";https://twitter.com/VictoriousNail/status/924424691082600449
boogiechild5820;2017-10-28 16:56;0;0;"Pp (@Henderson Shopping Village in Henderson, NV) https://www. swarmapp.com/c/kYpU0KzGN5q";;@Henderson;;"924424623583825921";https://twitter.com/boogiechild5820/status/924424623583825921
_Miss_Cheryl;2017-10-28 16:56;0;0;"Loungin’ (johnnysuave is my professional photographer) @Encore Beach Club https://www. instagram.com/p/Baz5flDB0yr/";;@Encore;;"924424604445163522";https://twitter.com/_Miss_Cheryl/status/924424604445163522
RaceAgent;2017-10-28 16:51;0;0;"That moment when you get to the track and let the gate down... #teamraceagent #fundingchampions … https://www. instagram.com/p/Baz47EsFYGI/";;;#teamraceagent #fundingchampions;"924423341976571905";https://twitter.com/RaceAgent/status/924423341976571905
jnelson4c;2017-10-28 16:50;0;0;"Cool fountain at The Linq Promenade. #breastcancerawareness #pink #fountain #slowmotion … https://www. instagram.com/p/Baz4yNwBH23/";;;#breastcancerawareness #pink #fountain #slowmotion;"924423038791307264";https://twitter.com/jnelson4c/status/924423038791307264
CrazyDeeDVD;2017-10-28 16:48;0;0;"The stage just open, and dj7 is in the ones and twos--, putting it down. Performances begin at… https://www. instagram.com/p/Baz4Xr9lZh8/";;;;"924422701258862592";https://twitter.com/CrazyDeeDVD/status/924422701258862592
S_Ky_312;2017-10-28 16:47;0;0;"That was one of the best games I’ve ever seen bobbyblecks… https://www. instagram.com/p/Baz4XgfhTB-O SNppKngAz6iy1pHumcSEYsp2k80/ …";;;;"924422486841729024";https://twitter.com/S_Ky_312/status/924422486841729024
roos2you;2017-10-28 16:47;0;1;"Despereaux and Simon really are a bonded pair. I have fallen in love with them. #cats #boys … https://www. instagram.com/p/Baz4e2Chr4b/";;;#cats #boys;"924422382550384640";https://twitter.com/roos2you/status/924422382550384640
cxthxxxxe;2017-10-28 16:46;0;0;"Just found some of the best Thai food here in Las Vegas #vegaseats … https://www. instagram.com/p/Baz4VMRntIT/";;;#vegaseats;"924422039032684544";https://twitter.com/cxthxxxxe/status/924422039032684544
ChrisIsHCFest;2017-10-28 16:45;0;2;"Worshipping at the altar of the Taco Bell gods in Vegas the other night. Assuming their blessing… https://www. instagram.com/p/Baz4QWXBM1g/";;;;"924421880899166209";https://twitter.com/ChrisIsHCFest/status/924421880899166209
Matt_Goias;2017-10-28 16:43;0;2;"#lasvegascaribbeanfestival #lasvegas #masquerade @Las Vegas, Nevada https://www. instagram.com/p/Baz4FDsllb2/";;@Las;#lasvegascaribbeanfestival #lasvegas #masquerade;"924421484503695360";https://twitter.com/Matt_Goias/status/924421484503695360
CrazyDeeDVD;2017-10-28 16:42;0;0;"It's going down at the Caribbean Fest and Black Las Vegas Food Fest and Block Party! Make it… https://www. instagram.com/p/Baz32GWltPG/";;;;"924421253179609090";https://twitter.com/CrazyDeeDVD/status/924421253179609090
Emsumdesigns;2017-10-28 16:42;0;0;"Aquamarine // Sapphire of the sea, treasure of mermaids. Nurtured clear communication, without… https://www. instagram.com/p/Baz35lMluyi/";;;;"924421197596524544";https://twitter.com/Emsumdesigns/status/924421197596524544
ReipHo;2017-10-28 16:42;0;0;"Sunset on the beach! brewteabar #sunsetonthebeachslush #boba … https://www. instagram.com/p/Baz36GCnBzvx WqYztmC5_Zjeba08FlZxivj34g0/ …";;;#sunsetonthebeachslush #boba;"924421107788275712";https://twitter.com/ReipHo/status/924421107788275712
p4esse;2017-10-28 16:41;0;0;"To all my contact in Vegas tonight we spin at Tempo Afterhours - Flamingo Road ... see you there… https://www. instagram.com/p/Baz32LuHBwS/";;;;"924420979140444160";https://twitter.com/p4esse/status/924420979140444160
djinfo1;2017-10-28 16:41;0;0;"Just posted a photo @Las Vegas Strip https://www. instagram.com/p/Baz30HVlKJU/";;@Las;;"924420910387310592";https://twitter.com/djinfo1/status/924420910387310592
ericlewis91;2017-10-28 16:41;0;2;"Let's play The Price is Right! Troy Leslie, COME ON DOWN! Eric Lewis, COME ON DOWN!...… https://www. instagram.com/p/Baz3zP2Ajmp/";;;;"924420879068491777";https://twitter.com/ericlewis91/status/924420879068491777
ParadiseNV;2017-10-28 16:40;0;0;"few clouds -> clear sky temperature up 77°F -> 83°F humidity down 15% -> 14% wind 9mph -> 6mph";;;;"924420538553872384";https://twitter.com/ParadiseNV/status/924420538553872384
leebrownstein;2017-10-28 16:39;0;0;"Catching up with this amazing gal #vegas #luckyme #fun #drinks #yesplease @ARIA Resort & Casino https://www. instagram.com/p/Baz3oedBuUh/";;@ARIA;#vegas #luckyme #fun #drinks #yesplease;"924420503292534784";https://twitter.com/leebrownstein/status/924420503292534784
wizkhellyfa;2017-10-28 16:39;0;0;"I had so much fun that I forgot I dropped a $34 drink in the pool @Marquee Nightclub and… https://www. instagram.com/p/Baz3k1llRM7/";;@Marquee;;"924420380848111616";https://twitter.com/wizkhellyfa/status/924420380848111616
plars2;2017-10-28 16:38;0;0;"Early scrambling hike called "Ice Cube". Lots of rocks! #vegashikers #scrambling #icecube @Red… https://www. instagram.com/p/Baz3gVan8Xq/";;@Red;#vegashikers #scrambling #icecube;"924420230025220096";https://twitter.com/plars2/status/924420230025220096
yogistylez;2017-10-28 16:38;0;0;"ALL ROADS LEAD TO THE STRIP TONIGHT ... POUR UP!!! #salutetherealones #squad . TONIGHT… https://www. instagram.com/p/Baz3gSFF2vQ/";;;#salutetherealones #squad;"924420226858356736";https://twitter.com/yogistylez/status/924420226858356736
jburr4;2017-10-28 16:38;1;3;"@SinCityHorror @musethefilm #vegas #thriller #horror #festival #director @Eclipse Theaters https://www. instagram.com/p/Baz3eq_nUui/";;@SinCityHorror @musethefilm @Eclipse;#vegas #thriller #horror #festival #director;"924420175637696518";https://twitter.com/jburr4/status/924420175637696518
crumps96;2017-10-28 16:36;0;0;"Riss the Notorious Rumps #MMA @T-Mobile Arena https://www. instagram.com/p/Baz3RHQA74B/";;@T;#MMA;"924419704734867456";https://twitter.com/crumps96/status/924419704734867456
SAuuuD;2017-10-28 16:36;0;0;"Quick bite (at @ChickfilA in Las Vegas, NV) https://www. swarmapp.com/c/grqYdSZMnKV";;@ChickfilA;;"924419662833704960";https://twitter.com/SAuuuD/status/924419662833704960
plars2;2017-10-28 16:35;0;0;"Went down through Ice Box Canyon this morning and then took a left! Scrambled up to a route… https://www. instagram.com/p/Baz3LP6HlTx/";;;;"924419503911346176";https://twitter.com/plars2/status/924419503911346176
rockinbettie;2017-10-28 16:35;0;0;"Set up at Freemont street experience.. Rock of horror.. we're right acoss from the haunted… https://www. instagram.com/p/Baz3IqXnMdJ/";;;;"924419407744524294";https://twitter.com/rockinbettie/status/924419407744524294
URBANNEWS702;2017-10-28 16:34;0;0;"#wbkelasvegas #IGOTAHIT #radioshow #DnDEnt #UrbanLounge Nov 18th #URBCULTUREMAGAZINE #drudown500 … https://www. instagram.com/p/BaDoHh5nr4t/";;;#wbkelasvegas #IGOTAHIT #radioshow #DnDEnt #UrbanLounge #URBCULTUREMAGAZINE #drudown500;"924419183827456000";https://twitter.com/URBANNEWS702/status/924419183827456000
ProdBySGB;2017-10-28 16:34;1;0;"After a disappointing sport week I gotta make myself feel better. SMFH @floridagators … https://www. instagram.com/p/Baz2s-OFn1N/";;@floridagators;;"924419156702892032";https://twitter.com/ProdBySGB/status/924419156702892032
RiotGRRLBarbie;2017-10-28 16:33;0;0;"Nom nom time with Mommie! (@VeggieWay in Las Vegas, NV) https://www. swarmapp.com/c/gP3r2Gvzh6A";;@VeggieWay;;"924418998774779904";https://twitter.com/RiotGRRLBarbie/status/924418998774779904
martinlapid;2017-10-28 16:33;0;0;"hi!.. (@Essence Cannabis Dispensary - @essencevegas in Las Vegas, NV) https://www. swarmapp.com/c/dTYHhSyjQA7";;@Essence @essencevegas;;"924418756746629122";https://twitter.com/martinlapid/status/924418756746629122
dkonstantine;2017-10-28 16:32;0;0;"Pre-dinner drinks at The Chandelier @The Chandelier https://www. instagram.com/p/Baz2Ky7nTVb/";;@The;;"924418717177602048";https://twitter.com/dkonstantine/status/924418717177602048
thefunkhouselv;2017-10-28 16:32;0;1;"#sharelikeshop #vintage #antiqiesshop #midcenturymodern #noon2sunset #open #shoppingtime … https://www. instagram.com/p/Baz2yNalLb7/";;;#sharelikeshop #vintage #antiqiesshop #midcenturymodern #noon2sunset #open #shoppingtime;"924418634159505408";https://twitter.com/thefunkhouselv/status/924418634159505408
Matt_Goias;2017-10-28 16:32;0;2;"#lasvegascaribbeanfestival #lasvegas #masquerade @Las Vegas, Nevada https://www. instagram.com/p/Baz2v-jlUm8/";;@Las;#lasvegascaribbeanfestival #lasvegas #masquerade;"924418563506552833";https://twitter.com/Matt_Goias/status/924418563506552833
Cameron_ent;2017-10-28 16:31;0;0;"Just posted a photo @New York - New York Hotel & Casino Las Vegas https://www. instagram.com/p/Baz2ovtnTe0/";;@New;;"924418319100334080";https://twitter.com/Cameron_ent/status/924418319100334080
Cameron_ent;2017-10-28 16:30;0;0;"Just posted a photo @New York - New York Hotel & Casino Las Vegas https://www. instagram.com/p/Baz2lC3HEzn/";;@New;;"924418185855717376";https://twitter.com/Cameron_ent/status/924418185855717376
Cameron_ent;2017-10-28 16:29;0;0;"Just posted a photo @Las Vegas Strip https://www. instagram.com/p/Baz2eyFn_Ov/";;@Las;;"924417981769060352";https://twitter.com/Cameron_ent/status/924417981769060352
ghostryder68;2017-10-28 16:28;0;0;"I'm at McCarran International Airport - @lasairport in Las Vegas, NV https://www. swarmapp.com/c/h4NqXt1SUOC";;@lasairport;;"924417713950351362";https://twitter.com/ghostryder68/status/924417713950351362
ghostryder68;2017-10-28 16:28;0;0;"I'm at Fountains of @Bellagio in Las Vegas, NV https://www. swarmapp.com/c/bsWIzhcjCu7";;@Bellagio;;"924417593905164290";https://twitter.com/ghostryder68/status/924417593905164290
ghostryder68;2017-10-28 16:27;0;0;"I'm at @Bellagio Hotel & Casino in Las Vegas, NV https://www. swarmapp.com/c/273qveLCVh1";;@Bellagio;;"924417485486608384";https://twitter.com/ghostryder68/status/924417485486608384
tmj_las_jobs;2017-10-28 16:27;0;0;"We're #hiring ! Read about our latest #job opening here: Shift Supervisor Management Trainee - http:// bit.ly/2h6mZ9f #LasVegas , NV";;;#hiring #job #LasVegas;"924417401000624128";https://twitter.com/tmj_las_jobs/status/924417401000624128
ghostryder68;2017-10-28 16:27;0;0;"I'm at Flamingo Las Vegas Hotel & Casino - @flamingovegas in Las Vegas, NV https://www. swarmapp.com/c/j2PH6eOBvXY";;@flamingovegas;;"924417356805402624";https://twitter.com/ghostryder68/status/924417356805402624
christinebarger;2017-10-28 16:25;0;1;"About to play District Zero escaperealityvegas @Escape Reality https://www. instagram.com/p/Baz2AzEjVxK/";;@Escape;;"924416945507540992";https://twitter.com/christinebarger/status/924416945507540992
michelleX2plus;2017-10-28 16:25;0;0;"Glad to be #home ain't miss none of ya'll like I missed my baby!! #coffee #homesweethome … https://www. instagram.com/p/Baz1SV0n_wx/";;;#home #coffee #homesweethome;"924416939874750464";https://twitter.com/michelleX2plus/status/924416939874750464
CynCity669;2017-10-28 16:24;0;0;"I'm at The Oasis at Goldspike Pool in Las Vegas, NV https://www. swarmapp.com/c/e6Eogar2EFP pic.twitter.com/oJ0cEEm5VL";;;;"924416611477532672";https://twitter.com/CynCity669/status/924416611477532672
TamraTrainer;2017-10-28 16:24;0;1;"I finally feel like a #unicorn thanks to gajhair for my color. I had dry, dull & brittle hair… https://www. instagram.com/p/BazzaLTnP5W/";;;#unicorn;"924416517068001280";https://twitter.com/TamraTrainer/status/924416517068001280
sarasgraham;2017-10-28 16:24;0;1;"Flashback to just 24 hours ago. Amazing night with amazing friends! #secondrow #pancakeclub … https://www. instagram.com/p/Baz1CKel3tr/";;;#secondrow #pancakeclub;"924416513192484864";https://twitter.com/sarasgraham/status/924416513192484864
djreaction_lv;2017-10-28 16:23;0;0;"It’s Saturday and you can find me mashing the music up at @lilybarlv inside @bellagio … https://www. instagram.com/p/Baz1wCklbuM/";;@lilybarlv @bellagio;;"924416372821676033";https://twitter.com/djreaction_lv/status/924416372821676033
brassybex;2017-10-28 16:22;0;1;"We've got a few hours to kill between wedding and reception so time to relax. #wedding … https://www. instagram.com/p/Baz1qG8lVln/";;;#wedding;"924416157771329538";https://twitter.com/brassybex/status/924416157771329538
theUNshopLV;2017-10-28 16:22;0;1;"We sent our leftover merch from Toronto @sneakercon to our family @blueprintsold to help those… https://www. instagram.com/p/Baz1pgejN3z/";;@sneakercon @blueprintsold;;"924416135650598913";https://twitter.com/theUNshopLV/status/924416135650598913
gabeabbadessa;2017-10-28 16:22;0;0;"Really missing my best friend and partner in crime these days, congrats on killing it on the… https://www. instagram.com/p/Baz1lvzAvke/";;;;"924416016729366528";https://twitter.com/gabeabbadessa/status/924416016729366528
yochef2;2017-10-28 16:22;0;0;"Country pork ribs, white sweet potato mash and collard greens #vegasbaby #countryribsbbq … https://www. instagram.com/p/Baz1k3mlUl6/";;;#vegasbaby #countryribsbbq;"924415987990089729";https://twitter.com/yochef2/status/924415987990089729
AimeeFreeman;2017-10-28 16:21;0;0;"@LUSH Cosmetics Mandalay Bay https://www. instagram.com/p/Baz1iq9gidX/";;@LUSH;;"924415903369850885";https://twitter.com/AimeeFreeman/status/924415903369850885
JasonYaquinto;2017-10-28 16:20;0;0;"Drinking a Fantasy Island by @MotherEarthBrCo at @bigdogsbrewing — http:// untp.beer/s/c520870414";;@MotherEarthBrCo @bigdogsbrewing;;"924415700193693696";https://twitter.com/JasonYaquinto/status/924415700193693696
eann9193;2017-10-28 16:19;0;2;"I'm at @PFChangs in Henderson, NV https://www. swarmapp.com/c/bUYHrJ4tPRb";;@PFChangs;;"924415452847144960";https://twitter.com/eann9193/status/924415452847144960
djinfo1;2017-10-28 16:19;0;0;"Sexy at the mall #lasvegas @Las Vegas Strip https://www. instagram.com/p/Baz1PEMFYW_/";;@Las;#lasvegas;"924415425768599557";https://twitter.com/djinfo1/status/924415425768599557
RamonaHilton;2017-10-28 16:19;0;0;"Mood as fuck #nophotosplease #mood #marqueedayclub #poolparty #lasvegas #thecosmopolitan … https://www. instagram.com/p/Baz1M0KnSoH/";;;#nophotosplease #mood #marqueedayclub #poolparty #lasvegas #thecosmopolitan;"924415401991094272";https://twitter.com/RamonaHilton/status/924415401991094272
celebritycarsLV;2017-10-28 16:19;0;0;"#sema2017 #SEMA @The SEMA Show https://www. instagram.com/p/Baz1TBYAgiv/";;@The;#sema2017 #SEMA;"924415370173304832";https://twitter.com/celebritycarsLV/status/924415370173304832
talonreid;2017-10-28 16:19;0;0;"O-H!!! THATS HOW WE DO BITCHES!!! WOOOO!!! @Las Vegas (airport) https://www. instagram.com/p/Baz1QoTDDM-/";;@Las;;"924415289894293505";https://twitter.com/talonreid/status/924415289894293505
Drcrashdown;2017-10-28 16:19;0;0;"Celebrating my cousins @eddorville wedding. Spending time with family. Loving life. #life … https://www. instagram.com/p/Baz1O8_HH3L/";;@eddorville;#life;"924415229546639361";https://twitter.com/Drcrashdown/status/924415229546639361
juliaaim;2017-10-28 16:18;0;0;"Thank you for making my dresses look so good! #aimbyjuliag #juliagorchakova #smoothdresses @… https://www. instagram.com/p/Baz1JfFDOCF/";;@;#aimbyjuliag #juliagorchakova #smoothdresses;"924415047723446272";https://twitter.com/juliaaim/status/924415047723446272
NewClass100;2017-10-28 16:18;0;0;"#freespirit #newclasscreations#pesoink Simple work @New Class… https://www. instagram.com/p/Baz1IsvFtu3e P-Xl1EGZ1p4c12A7DtGoH5P1R80/ …";;@New;#freespirit #newclasscreations #pesoink;"924415005252112384";https://twitter.com/NewClass100/status/924415005252112384
BeerAlien;2017-10-28 16:17;0;0;"Beer Zombies Bottle share - Drinking a Violet Premiere by @DeGardeBrewing at @595craftkitchen — http:// untp.beer/s/c520867714";;@DeGardeBrewing @595craftkitchen;;"924414870807773185";https://twitter.com/BeerAlien/status/924414870807773185
imtinabelina;2017-10-28 16:17;0;1;"#halloweenparty #edmlife #gravityfalls @Summerlin South, Nevada https://www. instagram.com/p/Baz1EGQDwMNv xkotAd_BkYCHataChOdB57--AU0/ …";;@Summerlin;#halloweenparty #edmlife #gravityfalls;"924414861584482304";https://twitter.com/imtinabelina/status/924414861584482304
OskarandJulia;2017-10-28 16:16;0;0;"Our demos are coming along nicely. It’s always good to have solid “sketches” of what you want… https://www. instagram.com/p/Baz0_q9grhd/";;;;"924414709670932480";https://twitter.com/OskarandJulia/status/924414709670932480
